Cluster 2.5,Depth,ID,Session,cluster 1.0
2,-305.238626,59,3,3
0,-309.2015838,60,3,1
2,-280.7470617,62,3,3
2,-258.6191465,63,3,3
1,-250,64,3,2
2,-209.5019087,68,3,3
3,-209.9520277,71,3,4
2,-194.3409802,74,3,3
2,-171.3793377,76,3,3
0,-155.4139713,77,3,1
2,-95.66782142,82,3,3
3,-105.3262661,86,3,4
1,-75.31697522,91,3,2
4,-45.16080616,93,3,6
0,-14.62417898,100,3,5
1,9.87160537,102,3,8
1,7.600988984,104,3,2
3,33.99604373,106,3,8
1,39.89731492,107,3,2
3,58.51939518,108,3,8
2,62.7522575,110,3,3
3,80.27576772,118,3,4
1,50.18483153,119,3,2
3,84.23645321,120,3,8
2,92.59662549,121,3,3
1,99.38178005,124,3,8
3,113.7259737,127,3,4
3,112.2218552,128,3,4
3,117.8670489,129,3,4
3,116.6052743,131,3,4
2,128.1793837,132,3,3
2,113.6017351,133,3,3
3,119.3688959,134,3,4
3,129.3348224,135,3,4
3,149.4082787,136,3,8
3,164.9212204,137,3,3
1,174.8338685,138,3,2
1,190,140,3,2
3,194.8368435,142,3,4
2,206.3550252,144,3,3
4,245.8640466,148,3,6
3,200.433804,149,3,8
3,209.4234367,150,3,4
4,210,151,3,8
3,219.1386825,152,3,8
0,225.7254777,157,3,0
1,231.4243265,160,3,2
0,220.7783014,163,3,1
3,248.0344515,165,3,8
0,241.5158082,166,3,5
0,253.7930413,170,3,5
1,257.4379746,171,3,2
0,276.5634999,174,3,1
0,272.1633995,175,3,5
0,290.862211,185,3,0
0,298.105152,188,3,5
0,237.4676683,189,3,5
0,282.1147677,190,3,5
0,286.6323846,191,3,5
3,315.694612,193,3,4
0,328.1481884,195,3,7
0,339.4118948,198,3,1
1,327.7061751,202,3,2
3,349.0088351,203,3,8
0,355.0035225,205,3,5
2,359.3640174,210,3,3
4,388.0825432,211,3,6
0,378.5761982,213,3,1
0,390.6134253,222,3,5
0,422.3650155,230,3,5
0,409.2277768,232,3,5
0,438.9867465,236,3,1
0,453.2487073,239,3,7
0,465.1211396,241,3,0
0,469.4224601,242,3,5
0,500.059559,247,3,1
1,541.6910549,249,3,2
4,529.9289457,250,3,6
3,570.1480313,251,3,8
3,577.3928565,255,3,8
1,594.9197732,257,3,2
1,632.9031909,261,3,2
1,674.1536562,271,3,2
2,679.1162285,272,3,4
3,715.8478528,276,3,8
3,748.0978482,280,3,4
3,731.4477552,285,3,8
0,793.3044457,294,3,5
3,799.0472269,298,3,4
3,778.5766151,300,3,4
3,842.4153577,308,3,8
3,835.764577,313,3,3
2,842.2297258,314,3,3
2,844.3887952,315,3,3
0,859.9516984,317,3,1
1,864.1160013,319,3,2
0,884.122102,327,3,0
0,874.9629902,328,3,0
3,855.0108104,329,3,4
3,852.8617572,330,3,4
3,881.5499606,331,3,8
3,952.5777725,332,3,8
2,930.5755049,334,3,3
