Cluster 2.5,Depth,ID,Session,Orientation Index,Orientation Cicular Variance,Direction Index,Direction Cicular Variance,Orientation tuning fit_R2,Orientation tuning BandWidth,SimpleComplexIndex,Vis Responsive,umap_x,umap_y,cluster 1.0,depth_scaled
3,30.50575025,204,4,0.760258326,0.526639154,0.093072734,0.951638298,0.987640657,28.09305787,1.474686004,1,9.143478394,4.711481094,4,17.46385941
1,23.40519217,206,4,0.79574794,0.520740613,0.076463377,0.971562034,0.98090274,24.74445433,0.691274855,1,7.769463062,8.235030174,2,11.03652114
4,-11.14953599,208,4,0.439844432,0.790484002,0.27454766,0.855571652,0.848209399,6.887017108,0.357576858,1,-0.967511654,5.534478664,6,-13.21619943
0,-5.09267006,211,4,0.335293341,0.835191026,0.453616268,0.937206614,0.332874113,7.967517891,0.645350565,1,-0.08271955,8.251742363,1,-5.259311942
3,-28.84208342,214,4,0.380583185,0.658191162,0.290681975,0.9011872,0.793583084,18.90754233,1.316211127,1,4.424855709,7.639080048,8,-36.45884854
1,-54.29998486,216,4,0.305613903,0.847485322,0.381675176,0.86610624,0.864476583,10.62425615,0.748669367,1,6.690937996,9.891807556,2,-69.90282105
4,-79.05847703,217,4,0.548967976,0.711060269,0.516649461,0.855085777,0.95422554,10.73287442,0.771978947,1,-2.388458967,8.120903969,6,-102.4279816
3,-70,220,4,0.99321,0.139098994,0.020086382,0.844350951,0.981696864,10.76660869,1.179523864,1,5.305192471,3.935935259,4,-90.52788615
0,-67.39742004,223,4,0.762617985,0.464543424,0.49238431,0.696572086,0.955248067,12.13099845,0.637675376,1,-1.54968226,9.859401703,7,-87.10888428
2,-115.6207783,227,4,0.308160361,0.929667337,0.433105543,0.884397682,0.625752335,7.12229246,0.517294158,0,12.09409046,2.185808182,3,-150.4597724
3,-86.35634548,229,4,0.72411902,0.464905481,0.051777478,0.861444369,0.918842316,23.21378236,0.454919415,0,5.121613026,7.467010975,8,-112.0151706
2,-146.7010292,235,4,0.640852937,0.563922719,0.075073328,0.939653279,0.989722767,11.83961239,0.453595189,1,11.73271942,3.645036459,3,-191.2898095
2,-125.4931776,236,4,0.395520152,0.793246655,0.384470812,0.884836638,0.867651544,11.77895804,0.406523798,1,9.984780312,2.360793114,3,-163.4291153
3,-166.7547826,239,4,0.486815603,0.544570031,0.255664095,0.906424611,0.964191687,11.53099808,1.088872628,1,8.736001015,4.018638611,4,-217.6343681
2,-152.5769584,240,4,0.241836365,0.84904357,0.088731837,0.933632309,0.860264844,12.97699554,0.11398286,0,11.13328171,1.42737782,3,-199.0090009
0,-176.8186713,244,4,0.375187021,0.827802972,0.321998867,0.876639724,0.888186047,7.297342816,0.067670417,0,0.060425144,9.585975647,1,-230.85527
2,-156.1252398,245,4,0.744019029,0.484075438,0.190100408,0.919855548,0.899961584,13.19532398,1.47846381,1,11.46590042,4.196753025,3,-203.670368
2,-224.0233545,252,4,0.463095852,0.703279053,0.119710185,0.885784493,0.943246428,19.44983553,0.971979968,1,11.75965118,3.200873375,3,-292.8679276
0,-210.0909491,253,4,0.122661943,0.968329795,0.334657766,0.937335931,0.538370454,6.802059843,0.923342845,0,-1.652223229,8.639930725,7,-274.5649664
2,-255.8733113,264,4,0.666498046,0.617182618,0.321026834,0.925020321,0.936256397,9.868828184,0.75669732,0,11.66536522,3.242030859,3,-334.709125
4,-355.1029067,276,4,0.178628328,0.957286285,0.644981397,0.876367405,0.691310922,7.373418734,0.40516993,0,-0.760659814,5.412809849,6,-465.0667616
4,-430,289,4,0.659992177,0.654647166,0.58120272,0.837780421,0.950612636,8.631907033,0.199135981,0,-2.527835846,6.497364044,6,-565.3954747
4,-435.1399065,290,4,0.966403731,0.327742867,0.998697334,0.290869944,0.798775357,17.49527175,0.476474234,0,-2.373836517,7.380729675,6,-572.5268
4,-494.2545418,300,4,0.165768555,0.980001038,0.24781541,0.975967852,0.65739896,7.061395499,0.309045212,0,-0.056571949,5.874903679,6,-654.5449634
4,-556.693003,314,4,0.26051845,0.920331985,0.421308049,0.758727773,0.748682993,16.74340704,0.358471779,0,-1.286108971,5.701976299,6,-741.1747444
